,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1
7390,24102039                 ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.000""            ",ZINC PLATED [A574]            ,B,3,148022                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.000""            ",[SS.304]                      ,P
7391,24102039                 ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.000""            ",ZINC PLATED [A574]            ,B,4,185705                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 75MM                ,[SS.304]                      ,B
7395,24102059                 ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.500""            ",ZINC PLATED [A574]            ,P,2,120890                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 90MM                ,ZINC PLATED [CL8.8]           ,P
7396,24102059                 ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.500""            ",ZINC PLATED [A574]            ,P,3,117671                   ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.500""            ",[SS.304]                      ,P
7397,24102059                 ,HEX.SOC.CAP SCREW             ,"#10-24UNC X 3.500""            ",ZINC PLATED [A574]            ,P,4,120888                   ,HEX.SOC.CAP SCREW             ,M5-0.80 X 90MM                ,[SS.304]                      ,P
7401,24102083                 ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 0.625""            ",ZINC PLATED [GR.5]            ,B,2,107730                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 16MM               ,ZINC PLATED [CL8.8]           ,B
7402,24102083                 ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 0.625""            ",ZINC PLATED [GR.5]            ,B,3,185534                   ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 0.625""            ",[SS.304]                      ,B
7403,24102083                 ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 0.625""            ",ZINC PLATED [GR.5]            ,B,4,185548                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 16MM               ,[SS.304]                      ,B
7421,24100005                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.500""            ",ZINC PLATED [GR.5]            ,P,2,118845                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 60MM                ,ZINC PLATED [CL8.8]           ,P
7422,24100005                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.500""            ",ZINC PLATED [GR.5]            ,P,3,24102822                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.500""            ",[SS.304]                      ,P
7423,24100005                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.500""            ",ZINC PLATED [GR.5]            ,P,4,118846                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 60MM                ,[SS.304]                      ,P
7425,24100005                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.500""            ",ZINC PLATED [GR.5]            ,P,6,182666                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 60MM                ,[SS.316]                      ,P
