,ITEMNO,DESC1,DESC2,SEARCHTEXT,STOCKINGTYPE,TYPECONVERSION,ITEMCONVERTI,DESC1_1,DESC2_1,SEARCHTEXT_1,STOCKINGTYPE_1,MATERIAL_1,MATERIAL_2
13593,24102208                 ,HEX.SOC.CAP SCREW             ,"5/16-18UNC X 4.000""           ",[SS.304],P,2,24104349                 ,HEX.SOC.CAP SCREW             ,M8-1.25 X 100MM               ,[SS.304],P,SS304,SS304
13595,24102208                 ,HEX.SOC.CAP SCREW             ,"5/16-18UNC X 4.000""           ",[SS.304],P,4,118591                   ,HEX.SOC.CAP SCREW             ,M8-1.25 X 100MM               ,[SS.304],P,SS304,SS304
13599,24103200                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.000""           ",[SS.304],P,6,182670                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 25MM                ,[SS.304],P,SS304,SS304
13601,24103209                 ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.000""            ",[SS.304],P,2,24100791                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.304],B,SS304,SS304
13603,24103209                 ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.000""            ",[SS.304],P,4,24104869                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.304],P,SS304,SS304
13605,24103209                 ,HEX.HD.CAP SCREW              ,"3/8-16UNC X 1.000""            ",[SS.304],P,6,182633                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 25MM               ,[SS.304],P,SS304,SS304
13607,24103210                 ,HEX.SOC.FH.CAP SCREW          ,"#10-32UNF X 0.500""            ",[SS.304],P,2,24104351                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 12MM                ,[SS.304],P,SS304,SS304
13609,24103210                 ,HEX.SOC.FH.CAP SCREW          ,"#10-32UNF X 0.500""            ",[SS.304],P,4,185757                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 12MM                ,[SS.304],B,SS304,SS304
13613,24103213                 ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 1.000""            ",[SS.304],P,2,24104510                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 25MM               ,[SS.304],B,SS304,SS304
13615,24103213                 ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 1.000""            ",[SS.304],P,4,24104925                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 25MM               ,[SS.304],P,SS304,SS304
13617,24103213                 ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 1.000""            ",[SS.304],P,6,182642                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 25MM               ,[SS.304],P,SS304,SS304
13625,24103217                 ,HEX.SOC.FH.CAP SCREW          ,"#6-32UNC X 0.750""             ",[SS.304],P,2,24104553                 ,HEX.SOC.FH.CAP SCREW          ,M4-0.70 X 20MM                ,[SS.304],P,SS304,SS304
13627,24103217                 ,HEX.SOC.FH.CAP SCREW          ,"#6-32UNC X 0.750""             ",[SS.304],P,4,156566                   ,HEX.SOC.FH.CAP SCREW          ,M4-0.70 X 20MM                ,[SS.304],P,SS304,SS304
13631,24103218                 ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 0.500""            ",[SS.304],P,2,24104351                 ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 12MM                ,[SS.304],P,SS304,SS304
13633,24103218                 ,HEX.SOC.FH.CAP SCREW          ,"#10-24UNC X 0.500""            ",[SS.304],P,4,185757                   ,HEX.SOC.FH.CAP SCREW          ,M5-0.80 X 12MM                ,[SS.304],B,SS304,SS304
13637,24103220                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 0.750""            ",[SS.304],P,2,185069                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 20MM               ,[SS.304],B,SS304,SS304
13639,24103220                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 0.750""            ",[SS.304],P,4,185736                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 20MM               ,[SS.304],B,SS304,SS304
13643,24103223                 ,HEX.NYLON INSERT LOCKNUT      ,#10-24UNC                     ,[SS.304],P,2,24104331                 ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,[SS.304],B,SS304,SS304
13645,24103223                 ,HEX.NYLON INSERT LOCKNUT      ,#10-24UNC                     ,[SS.304],P,4,24104534                 ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,[SS.304],P,SS304,SS304
13647,24103223                 ,HEX.NYLON INSERT LOCKNUT      ,#10-24UNC                     ,[SS.304],P,6,182691                   ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,[SS.304],P,SS304,SS304
13752,24102209                 ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.000""             ",[SS.304],P,2,24101453                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 25MM                ,[SS.304],P,SS304,SS304
13754,24102209                 ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.000""             ",[SS.304],P,4,24104819                 ,HEX.SOC.CAP SCREW             ,M4-0.70 X 25MM                ,[SS.304],P,SS304,SS304
13756,24102209                 ,HEX.SOC.CAP SCREW             ,"#8-32UNC X 1.000""             ",[SS.304],P,6,182696                   ,HEX.SOC.CAP SCREW             ,M4-0.70 X 25MM                ,[SS.304],P,SS304,SS304
13758,24102218                 ,HEX.HD.CAP SCREW              ,"3/8-24UNF X 1.250""            ",[SS.304],P,2,24100222                 ,HEX.HD.CAP SCREW              ,M10-1.25 X 30MM               ,[SS.304],P,SS304,SS304
13762,24102218                 ,HEX.HD.CAP SCREW              ,"3/8-24UNF X 1.250""            ",[SS.304],P,6,182631                   ,HEX.HD.CAP SCREW              ,M10-1.25 X 30MM               ,[SS.304],P,SS304,SS304
13764,24102219                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.250""           ",[SS.304],P,2,24101201                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 30MM                ,[SS.304],B,SS304,SS304
13766,24102219                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.250""           ",[SS.304],P,4,185604                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 30MM                ,[SS.304],B,SS304,SS304
13770,24102220                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 3.000""           ",[SS.304],P,2,185609                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 75MM                ,[SS.304],B,SS304,SS304
13784,24102225                 ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 6.000""            ",[SS.304],P,4,215564                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 150MM              ,[SS.304],B,SS304,SS304
13788,24102226                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.500""           ",[SS.304],P,2,24104717                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 35MM               ,[SS.304],P,SS304,SS304
13790,24102226                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.500""           ",[SS.304],P,4,24106027                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 35MM               ,[SS.304],P,SS304,SS304
13792,24102226                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.500""           ",[SS.304],P,6,182635                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 35MM               ,[SS.304],P,SS304,SS304
13794,24102227                 ,WASHER;SPRING LOCK            ,"0.313""                        ",[SS.304],B,2,24101224                 ,WASHER;SPRING LOCK            ,M8                            ,[SS.304],P,SS304,SS304
13796,24102227                 ,WASHER;SPRING LOCK            ,"0.313""                        ",[SS.304],B,4,24104850                 ,WASHER;SPRING LOCK            ,M8                            ,[SS.304],B,SS304,SS304
13798,24102227                 ,WASHER;SPRING LOCK            ,"0.313""                        ",[SS.304],B,6,182740                   ,WASHER;SPRING LOCK            ,M8                            ,[SS.304],P,SS304,SS304
13800,24102228                 ,HEX.NYLON INSERT LOCKNUT      ,#8-32UNC                      ,[SS.304],P,2,24101496                 ,HEX.NYLON INSERT LOCKNUT      ,M4-0.70                       ,[SS.304],B,SS304,SS304
13802,24103224                 ,HEX.NYLON INSERT LOCKNUT      ,1/4-20UNC                     ,[SS.304],P,2,24101501                 ,HEX.NYLON INSERT LOCKNUT      ,M6-1.00                       ,[SS.304],B,SS304,SS304
13804,24103224                 ,HEX.NYLON INSERT LOCKNUT      ,1/4-20UNC                     ,[SS.304],P,4,24104833                 ,HEX.NYLON INSERT LOCKNUT      ,M6-1.00                       ,[SS.304],P,SS304,SS304
13806,24103224                 ,HEX.NYLON INSERT LOCKNUT      ,1/4-20UNC                     ,[SS.304],P,6,182692                   ,HEX.NYLON INSERT LOCKNUT      ,M6-1.00                       ,[SS.304],P,SS304,SS304
13808,24103225                 ,HEX.NYLON INSERT LOCKNUT      ,5/16-18UNC                    ,[SS.304],P,2,24101502                 ,HEX.NYLON INSERT LOCKNUT      ,M8-1.25                       ,[SS.304],B,SS304,SS304
13810,24103225                 ,HEX.NYLON INSERT LOCKNUT      ,5/16-18UNC                    ,[SS.304],P,4,24104836                 ,HEX.NYLON INSERT LOCKNUT      ,M8-1.25                       ,[SS.304],P,SS304,SS304
13812,24103225                 ,HEX.NYLON INSERT LOCKNUT      ,5/16-18UNC                    ,[SS.304],P,6,182693                   ,HEX.NYLON INSERT LOCKNUT      ,M8-1.25                       ,[SS.304],P,SS304,SS304
13814,24103226                 ,HEX.NYLON INSERT LOCKNUT      ,3/8-16UNC                     ,[SS.304],P,2,24104102                 ,HEX.NYLON INSERT LOCKNUT      ,M10-1.50                      ,[SS.304],B,SS304,SS304
13816,24103226                 ,HEX.NYLON INSERT LOCKNUT      ,3/8-16UNC                     ,[SS.304],P,4,24104834                 ,HEX.NYLON INSERT LOCKNUT      ,M10-1.50                      ,[SS.304],P,SS304,SS304
13818,24103226                 ,HEX.NYLON INSERT LOCKNUT      ,3/8-16UNC                     ,[SS.304],P,6,182686                   ,HEX.NYLON INSERT LOCKNUT      ,M10-1.50                      ,[SS.304],P,SS304,SS304
13820,24103227                 ,HEX.NYLON INSERT LOCKNUT      ,7/16-14UNC                    ,[SS.304],P,2,24104102                 ,HEX.NYLON INSERT LOCKNUT      ,M10-1.50                      ,[SS.304],B,SS304,SS304
13822,24103227                 ,HEX.NYLON INSERT LOCKNUT      ,7/16-14UNC                    ,[SS.304],P,4,24104834                 ,HEX.NYLON INSERT LOCKNUT      ,M10-1.50                      ,[SS.304],P,SS304,SS304
13824,24103227                 ,HEX.NYLON INSERT LOCKNUT      ,7/16-14UNC                    ,[SS.304],P,6,182686                   ,HEX.NYLON INSERT LOCKNUT      ,M10-1.50                      ,[SS.304],P,SS304,SS304
13826,24103228                 ,HEX.NYLON INSERT LOCKNUT      ,1/2-13UNC                     ,[SS.304],P,2,24103897                 ,HEX.NYLON INSERT LOCKNUT      ,M12-1.75                      ,[SS.304],B,SS304,SS304
13828,24103228                 ,HEX.NYLON INSERT LOCKNUT      ,1/2-13UNC                     ,[SS.304],P,4,24104832                 ,HEX.NYLON INSERT LOCKNUT      ,M12-1.75                      ,[SS.304],P,SS304,SS304
13830,24103228                 ,HEX.NYLON INSERT LOCKNUT      ,1/2-13UNC                     ,[SS.304],P,6,182687                   ,HEX.NYLON INSERT LOCKNUT      ,M12-1.75                      ,[SS.304],B,SS304,SS304
13832,24103229                 ,HEX.NYLON INSERT LOCKNUT      ,3/4-10UNC                     ,[SS.304],P,2,24104532                 ,HEX.NYLON INSERT LOCKNUT      ,M20-2.50                      ,[SS.304],B,SS304,SS304
13834,24103229                 ,HEX.NYLON INSERT LOCKNUT      ,3/4-10UNC                     ,[SS.304],P,4,24104884                 ,HEX.NYLON INSERT LOCKNUT      ,M20-2.50                      ,[SS.304],P,SS304,SS304
13836,24103229                 ,HEX.NYLON INSERT LOCKNUT      ,3/4-10UNC                     ,[SS.304],P,6,182689                   ,HEX.NYLON INSERT LOCKNUT      ,M20-2.50                      ,[SS.304],P,SS304,SS304
13844,24103265                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 3.500""            ",[SS.304],P,2,108469                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 90MM               ,[SS.304],B,SS304,SS304
13846,24103265                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 3.500""            ",[SS.304],P,4,185747                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 90MM               ,[SS.304],B,SS304,SS304
13848,24103265                 ,HEX.SOC.FH.CAP SCREW          ,"3/8-16UNC X 3.500""            ",[SS.304],P,6,182709                   ,HEX.SOC.FH.CAP SCREW          ,M10-1.50 X 90MM               ,[SS.304],P,SS304,SS304
13955,24102228                 ,HEX.NYLON INSERT LOCKNUT      ,#8-32UNC                      ,[SS.304],P,4,24104837                 ,HEX.NYLON INSERT LOCKNUT      ,M4-0.70                       ,[SS.304],P,SS304,SS304
13957,24102228                 ,HEX.NYLON INSERT LOCKNUT      ,#8-32UNC                      ,[SS.304],P,6,182690                   ,HEX.NYLON INSERT LOCKNUT      ,M4-0.70                       ,[SS.304],P,SS304,SS304
13965,24102230                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.000""            ",[SS.304],P,2,24104498                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 50MM                ,[SS.304],B,SS304,SS304
13967,24102230                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 2.000""            ",[SS.304],P,4,24104784                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 50MM                ,[SS.304],P,SS304,SS304
14045,24103363                 ,HEX.SOC.BUT.HD.CAP SCREW      ,"1/4-20UNC X 0.750""            ",[SS.304],P,2,220410                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M6-1.00 X 20MM                ,[SS.304],B,SS304,SS304
14047,24103363                 ,HEX.SOC.BUT.HD.CAP SCREW      ,"1/4-20UNC X 0.750""            ",[SS.304],P,4,185665                   ,HEX.SOC.BUT.HD.CAP SCREW      ,M6-1.00 X 20MM                ,[SS.304],B,SS304,SS304
14051,24103381                 ,HEX.NYLON INSERT LOCKNUT      ,#10-24UNC                     ,ZINC PLATED,B,2,24104331                 ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,ZINC PLATED,B,ZINC,ZINC
14053,24103381                 ,HEX.NYLON INSERT LOCKNUT      ,#10-24UNC                     ,ZINC PLATED,B,4,24104534                 ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,ZINC PLATED,P,ZINC,ZINC
14055,24103381                 ,HEX.NYLON INSERT LOCKNUT      ,#10-24UNC                     ,ZINC PLATED,B,6,182691                   ,HEX.NYLON INSERT LOCKNUT      ,M5-0.80                       ,ZINC PLATED,P,ZINC,ZINC
14172,24102290                 ,HEX.NYLON INSERT LOCKNUT      ,5/8-11UNC                     ,[SS.304],P,2,24102976                 ,HEX.NYLON INSERT LOCKNUT      ,M16-2.00                      ,[SS.304],B,SS304,SS304
14174,24102290                 ,HEX.NYLON INSERT LOCKNUT      ,5/8-11UNC                     ,[SS.304],P,4,24104835                 ,HEX.NYLON INSERT LOCKNUT      ,M16-2.00                      ,[SS.304],P,SS304,SS304
14176,24102290                 ,HEX.NYLON INSERT LOCKNUT      ,5/8-11UNC                     ,[SS.304],P,6,182688                   ,HEX.NYLON INSERT LOCKNUT      ,M16-2.00                      ,[SS.304],P,SS304,SS304
14184,24102292                 ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.000""            ",[SS.304],P,2,24101318                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 50MM               ,[SS.304],B,SS304,SS304
14186,24102292                 ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.000""            ",[SS.304],P,4,24104924                 ,HEX.HD.CAP SCREW              ,M12-1.75 X 50MM               ,[SS.304],P,SS304,SS304
14188,24102292                 ,HEX.HD.CAP SCREW              ,"1/2-13UNC X 2.000""            ",[SS.304],P,6,182647                   ,HEX.HD.CAP SCREW              ,M12-1.75 X 50MM               ,[SS.304],P,SS304,SS304
14190,24102293                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 3.500""           ",[SS.304],P,2,24102253                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 90MM               ,[SS.304],P,SS304,SS304
14192,24102293                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 3.500""           ",[SS.304],P,4,185550                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 90MM               ,[SS.304],B,SS304,SS304
14196,24102302                 ,SQ.HD.SET SCREW CUP POINT     ,"3/8-16UNC X 1.250""            ",[SS.304],P,2,24104619                 ,SQ.HD.SET SCREW CUP POINT     ,M10-1.50 X 30MM               ,[SS.304],P,SS304,SS304
14208,24102304                 ,SQ.HD.SET SCREW CUP POINT     ,"3/8-16UNC X 1.000""            ",[SS.304],P,2,24104620                 ,SQ.HD.SET SCREW CUP POINT     ,M10-1.50 X 25MM               ,[SS.304],P,SS304,SS304
14210,24103415                 ,HEX.NYLON INSERT LOCKNUT      ,#6-32UNC                      ,ZINC PLATED,P,2,24101496                 ,HEX.NYLON INSERT LOCKNUT      ,M4-0.70                       ,ZINC PLATED,B,ZINC,ZINC
14212,24103415                 ,HEX.NYLON INSERT LOCKNUT      ,#6-32UNC                      ,ZINC PLATED,P,4,24104837                 ,HEX.NYLON INSERT LOCKNUT      ,M4-0.70                       ,ZINC PLATED,P,ZINC,ZINC
14214,24103415                 ,HEX.NYLON INSERT LOCKNUT      ,#6-32UNC                      ,ZINC PLATED,P,6,182690                   ,HEX.NYLON INSERT LOCKNUT      ,M4-0.70                       ,ZINC PLATED,P,ZINC,ZINC
14363,24102304                 ,SQ.HD.SET SCREW CUP POINT     ,"3/8-16UNC X 1.000""            ",[SS.304],P,4,185823                   ,SQ.HD.SET SCREW CUP POINT     ,M10-1.50 X 25MM               ,[SS.304],B,SS304,SS304
14373,24102308                 ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 0.750""            ",[SS.304],P,2,24104198                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 20MM                ,[SS.304],B,SS304,SS304
14375,24102308                 ,HEX.SOC.FH.CAP SCREW          ,"1/4-20UNC X 0.750""            ",[SS.304],P,4,24104825                 ,HEX.SOC.FH.CAP SCREW          ,M6-1.00 X 20MM                ,[SS.304],P,SS304,SS304
14385,24102337                 ,HEX.SOC.FH.CAP SCREW          ,"5/16-18UNC X 0.625""           ",[SS.304],P,2,24101875                 ,HEX.SOC.FH.CAP SCREW          ,M8-1.25 X 16MM                ,[SS.304],P,SS304,SS304
14391,24102346                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 0.500""           ",[SS.304],P,2,24101263                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 12MM                ,[SS.304],B,SS304,SS304
14393,24102346                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 0.500""           ",[SS.304],P,4,185602                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 12MM                ,[SS.304],B,SS304,SS304
14397,24102347                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.750""           ",[SS.304],P,2,24104715                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 45MM                ,[SS.304],P,SS304,SS304
14399,24102347                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.750""           ",[SS.304],P,4,24106071                 ,HEX.HD.CAP SCREW              ,M8-1.25 X 45MM                ,[SS.304],P,SS304,SS304
14401,24102347                 ,HEX.HD.CAP SCREW              ,"5/16-18UNC X 1.750""           ",[SS.304],P,6,182673                   ,HEX.HD.CAP SCREW              ,M8-1.25 X 45MM                ,[SS.304],P,SS304,SS304
14435,24103676                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 4.000""            ",[SS.304],P,2,24104499                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 100MM               ,[SS.304],P,SS304,SS304
14437,24103676                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 4.000""            ",[SS.304],P,4,185590                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 100MM               ,[SS.304],B,SS304,SS304
14447,24103821                 ,HEX.NUT                       ,1-8UNC                        ,[SS.304],P,2,24104414                 ,HEX.NUT                       ,M24-3.00                      ,[SS.304],B,SS304,SS304
14449,24103821                 ,HEX.NUT                       ,1-8UNC                        ,[SS.304],P,4,24104839                 ,HEX.NUT                       ,M24-3.00                      ,[SS.304],P,SS304,SS304
14568,24102380                 ,HEX.SOC.SHOULDER SCREW        ,"0.750"" X 2.750"" X 5/8-11UNC   ",ZINC PLATED,P,2,24104705                 ,HEX.SOC.SHOULDER SCREW        ,M20 X 70MM X M16-2.00         ,ZINC PLATED,P,ZINC,ZINC
14586,24102410                 ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.500""            ",[SS.304],P,2,24101720                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 60MM               ,[SS.304],P,SS304,SS304
14588,24102410                 ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.500""            ",[SS.304],P,4,24104865                 ,HEX.HD.CAP SCREW              ,M16-2.00 X 60MM               ,[SS.304],P,SS304,SS304
14590,24102410                 ,HEX.HD.CAP SCREW              ,"5/8-11UNC X 2.500""            ",[SS.304],P,6,182654                   ,HEX.HD.CAP SCREW              ,M16-2.00 X 60MM               ,[SS.304],P,SS304,SS304
14598,24102432                 ,HEX.SOC.CAP SCREW             ,"5/16-18UNC X 4.500""           ",[SS.304],P,2,300283                   ,HEX.SOC.CAP SCREW             ,M8-1.25 X 120MM               ,[SS.304],P,SS304,SS304
14616,24102444                 ,HEX.JAM NUT                   ,1/4-20UNC                     ,[SS.304],P,2,24104525                 ,HEX.JAM NUT                   ,M6-1.00                       ,[SS.304],P,SS304,SS304
14636,24103998                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.250""            ",[SS.304],B,2,24101196                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 30MM                ,[SS.304],B,SS304,SS304
14638,24103998                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.250""            ",[SS.304],B,4,24104923                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 30MM                ,[SS.304],P,SS304,SS304
14640,24103998                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.250""            ",[SS.304],B,6,182663                   ,HEX.HD.CAP SCREW              ,M6-1.00 X 30MM                ,[SS.304],P,SS304,SS304
14771,24102444                 ,HEX.JAM NUT                   ,1/4-20UNC                     ,[SS.304],P,4,120887                   ,HEX.JAM NUT                   ,M6-1.00                       ,[SS.304],P,SS304,SS304
14781,24102457                 ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 3.000""            ",[SS.304],P,2,185618                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 75MM               ,[SS.304],B,SS304,SS304
14783,24102457                 ,HEX.HD.CAP SCREW-FULL THD.    ,"3/8-16UNC X 3.000""            ",[SS.304],P,4,185617                   ,HEX.HD.CAP SCREW-FULL THD.    ,M10-1.50 X 75MM               ,[SS.304],B,SS304,SS304
14793,24102463                 ,HEX.SOC.SHOULDER SCREW        ,"0.250"" X 0.250"" X #10-24UNC   ",ZINC PLATED,P,2,24104609                 ,HEX.SOC.SHOULDER SCREW        ,M6 X 6MM X M5-0.80            ,ZINC PLATED,P,ZINC,ZINC
14982,24102505                 ,WASHER;SPRING LOCK            ,"0.250""                        ",[SS.304],B,2,24101223                 ,WASHER;SPRING LOCK            ,M6                            ,[SS.304],P,SS304,SS304
14984,24102505                 ,WASHER;SPRING LOCK            ,"0.250""                        ",[SS.304],B,4,24104847                 ,WASHER;SPRING LOCK            ,M6                            ,[SS.304],B,SS304,SS304
14986,24102505                 ,WASHER;SPRING LOCK            ,"0.250""                        ",[SS.304],B,6,182739                   ,WASHER;SPRING LOCK            ,M6                            ,[SS.304],P,SS304,SS304
15018,24102580                 ,THREADED ROD                  ,3/4-10UNC                     ,[SS.304],P,2,24102283                 ,THREADED ROD                  ,M20-2.50                      ,[SS.304],P,SS304,SS304
15020,24102580                 ,THREADED ROD                  ,3/4-10UNC                     ,[SS.304],P,4,24104935                 ,THREADED ROD                  ,M20-2.50                      ,[SS.304],P,SS304,SS304
15024,24102581                 ,THREADED ROD                  ,1-8UNC                        ,[SS.304],P,2,24104405                 ,THREADED ROD                  ,M24-3.00                      ,[SS.304],P,SS304,SS304
15056,24104245                 ,HEX.NYLON INSERT LOCKNUT      ,#8-32UNC                      ,ZINC PLATED,P,2,24101496                 ,HEX.NYLON INSERT LOCKNUT      ,M4-0.70                       ,ZINC PLATED,B,ZINC,ZINC
15058,24104245                 ,HEX.NYLON INSERT LOCKNUT      ,#8-32UNC                      ,ZINC PLATED,P,4,24104837                 ,HEX.NYLON INSERT LOCKNUT      ,M4-0.70                       ,ZINC PLATED,P,ZINC,ZINC
15060,24104245                 ,HEX.NYLON INSERT LOCKNUT      ,#8-32UNC                      ,ZINC PLATED,P,6,182690                   ,HEX.NYLON INSERT LOCKNUT      ,M4-0.70                       ,ZINC PLATED,P,ZINC,ZINC
15070,24104259                 ,HEX.SOC.FH.CAP SCREW          ,"1/2-13UNC X 1.750""            ",[SS.304],P,4,185749                   ,HEX.SOC.FH.CAP SCREW          ,M12-1.75 X 45MM               ,[SS.304],B,SS304,SS304
15196,24102601                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.250""           ",[SS.304],P,2,24101206                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 30MM               ,[SS.304],B,SS304,SS304
15198,24102601                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.250""           ",[SS.304],P,4,24104922                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 30MM               ,[SS.304],P,SS304,SS304
15200,24102601                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.250""           ",[SS.304],P,6,182634                   ,HEX.HD.CAP SCREW              ,M10-1.50 X 30MM               ,[SS.304],P,SS304,SS304
15202,24102602                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.750""           ",[SS.304],P,2,24104718                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 45MM               ,[SS.304],B,SS304,SS304
15204,24102602                 ,HEX.HD.CAP SCREW              ,"7/16-14UNC X 1.750""           ",[SS.304],P,4,24104866                 ,HEX.HD.CAP SCREW              ,M10-1.50 X 45MM               ,[SS.304],P,SS304,SS304
15208,24102603                 ,HEX.NUT                       ,7/16-14UNC                    ,[SS.304],P,2,24101215                 ,HEX.NUT                       ,M10-1.50                      ,[SS.304],B,SS304,SS304
15210,24102603                 ,HEX.NUT                       ,7/16-14UNC                    ,[SS.304],P,4,24104842                 ,HEX.NUT                       ,M10-1.50                      ,[SS.304],P,SS304,SS304
15212,24102603                 ,HEX.NUT                       ,7/16-14UNC                    ,[SS.304],P,6,166105                   ,HEX.NUT                       ,M10-1.50                      ,[SS.304],B,SS304,SS304
15214,24102604                 ,WASHER;SPRING LOCK            ,"0.438""                        ",[SS.304],B,2,24104548                 ,WASHER;SPRING LOCK            ,M10                           ,[SS.304],P,SS304,SS304
15216,24102604                 ,WASHER;SPRING LOCK            ,"0.438""                        ",[SS.304],B,4,24104849                 ,WASHER;SPRING LOCK            ,M10                           ,[SS.304],B,SS304,SS304
15218,24102604                 ,WASHER;SPRING LOCK            ,"0.438""                        ",[SS.304],B,6,182734                   ,WASHER;SPRING LOCK            ,M10                           ,[SS.304],P,SS304,SS304
15220,24102605                 ,HEX.HD.CAP SCREW              ,"1/4-20UNC X 1.000""            ",[SS.304],P,2,24101195                 ,HEX.HD.CAP SCREW              ,M6-1.00 X 25MM                ,[SS.304],B,SS304,SS304
